Name,ORGID ,FACID ,Cohort,DRG Name, DRG Discharges  
Anna Jaques Hospital,1,2006,Community Hospital,Normal Neonate Birth,681
Athol Hospital,2,2226,Community High Public Payer Hospital,COPD,97
Baystate Franklin Medical Center,5,2120,Community High Public Payer Hospital,Normal Neonate Birth,370
Baystate Medical Center,4,2339,Teaching Hospital,Normal Neonate Birth,3301
Baystate Noble Hospital,106,2076,Community High Public Payer Hospital,Septicemia Infections,333
Baystate Wing Hospital,14495,2181,Community High Public Payer Hospital,Septicemia Infections,425
Berkshire Medical Center,6309,2313,Community High Public Payer Hospital,Septicemia Infections,874
Beth Israel Deaconess Hospital - Milton,98,2227,Community Hospital,Septicemia Infections,540
Beth Israel Deaconess Hospital - Needham,53,2054,Community Hospital,Septicemia Infections,440
Beth Israel Deaconess Hospital - Plymouth,79,2082,Community High Public Payer Hospital,Normal Neonate Birth,755
Beth Israel Deaconess Medical Center,8702,2069,Academic Medical Center,Normal Neonate Birth,4382
Boston Children's Hospital ,46,2139,Specialty Hospital,Seizure,603
Boston Medical Center,3107,2307,Academic Medical Center,Normal Neonate Birth,2351
Brigham and Women's Faulkner Hospital,59,2048,Community Hospital,Alcohol Abuse & Dependence,639
Brigham and Women's Hospital,22,2921,Academic Medical Center,Normal Neonate Birth,5022
Cambridge Health Alliance,3108,2108,Teaching Hospital,Normal Neonate Birth,1016
Cape Cod Hospital,39,2135,Community High Public Payer Hospital,Septicemia Infections,2053
Cooley Dickinson Hospital,50,2155,Community Hospital,Normal Neonate Birth,490
Dana-Farber Cancer Institute,51,2335,Specialty Hospital,Chemotherapy,437
Emerson Hospital,57,2018,Community Hospital,Normal Neonate Birth,1147
Fairview Hospital,8,2052,Community High Public Payer Hospital,Normal Neonate Birth,124
Falmouth Hospital,40,2289,Community High Public Payer Hospital,Septicemia Infections,1022
Harrington Memorial Hospital,68,2143,Community High Public Payer Hospital,Maj Depressive Disorders,331
HealthAlliance-Clinton Hospital,14496,2034,Community High Public Payer Hospital,Normal Neonate Birth,606
Heywood Memorial Hospital,73,2036,Community High Public Payer Hospital,Normal Neonate Birth,376
Holyoke Medical Center,77,2145,Community High Public Payer Hospital,Septicemia Infections,643
Lahey Hospital & Medical Center,6546,2033,Teaching Hospital,Septicemia Infections,1457
Lawrence General Hospital,83,2099,Community High Public Payer Hospital,Normal Neonate Birth,1324
Lowell General Hospital,85,2040,Community High Public Payer Hospital,Normal Neonate Birth,2038
Marlborough Hospital,133,2103,Community High Public Payer Hospital,Maj Depressive Disorders,300
Martha's Vineyard Hospital,88,2042,Community Hospital,Normal Neonate Birth,120
Massachusetts Eye and Ear Infirmary,89,2167,Specialty Hospital,Other ENT Procedures,116
Massachusetts General Hospital,91,2168,Academic Medical Center,Normal Neonate Birth,3181
MelroseWakefield Hospital (Hallmark Health),3111,2038,Community High Public Payer Hospital,Normal Neonate Birth,746
Mercy Medical Center,6547,2149,Community High Public Payer Hospital,Opioid Abuse & Dependence,1572
MetroWest Medical Center,3110,2020,Community High Public Payer Hospital,Normal Neonate Birth,959
Milford Regional Medical Center,97,2105,Community Hospital,Normal Neonate Birth,832
"Morton Hospital, A Steward Family Hospital",99,2022,Community High Public Payer Hospital,Septicemia Infections,553
Mount Auburn Hospital,100,2071,Teaching Hospital,Normal Neonate Birth,2404
Nantucket Cottage Hospital,101,2044,Community Hospital,Normal Neonate Birth,139
"Nashoba Valley Medical Center, A Steward Family Hospital",11467,2298,Community High Public Payer Hospital,Org Mental Hlth Disturb,176
New England Baptist Hospital,103,2059,Specialty Hospital,Knee Joint Replacement,3452
Newton-Wellesley Hospital,105,2075,Community Hospital,Normal Neonate Birth,3295
North Shore Medical Center,345,2073,Community High Public Payer Hospital,Normal Neonate Birth,1084
Northeast Hospital,3112,2007,Community High Public Payer Hospital,Normal Neonate Birth,2010
Saint Vincent Hospital,127,2128,Teaching Hospital,Normal Neonate Birth,1684
Shriners Hospitals for Children - Boston,6963,2316,Specialty Hospital,Skin Graft for Skin Dxs,37
Shriners Hospitals for Children - Springfield,11718,2152,Specialty Hospital,D & L Fusion for Curvature,31
Signature Healthcare Brockton Hospital,25,2118,Community High Public Payer Hospital,Normal Neonate Birth,846
South Shore Hospital,122,2107,Community Hospital,Normal Neonate Birth,2796
Southcoast Hospital Group,3113,2010,Community High Public Payer Hospital,Normal Neonate Birth,2884
Steward Carney Hospital,42,2003,Teaching Hospital,Septicemia Infections,357
Steward Good Samaritan Medical Center,8701,2101,Community High Public Payer Hospital,Normal Neonate Birth,1121
Steward Holy Family Hospital,75,2225,Community High Public Payer Hospital,Normal Neonate Birth,965
Steward Norwood Hospital,41,2114,Community High Public Payer Hospital,Bipolar Disorders,470
Steward Saint Anne's Hospital,114,2011,Community High Public Payer Hospital,Septicemia Infections,479
Steward St. Elizabeth's Medical Center,126,2085,Teaching Hospital,Normal Neonate Birth,752
Sturdy Memorial Hospital,129,2100,Community High Public Payer Hospital,Normal Neonate Birth,596
Tufts Medical Center,104,2299,Academic Medical Center,Normal Neonate Birth,968
UMass Memorial Medical Center,3115,2841,Academic Medical Center,Normal Neonate Birth,3694
Winchester Hospital,138,2094,Community Hospital,Normal Neonate Birth,2065
Anna Jaques Hospital,1,2006,Community Hospital,Bipolar Disorders,525
Athol Hospital,2,2226,Community High Public Payer Hospital,Other Pneumonia,78
Baystate Franklin Medical Center,5,2120,Community High Public Payer Hospital,Septicemia Infections,307
Baystate Medical Center,4,2339,Teaching Hospital,Vaginal Delivery,2491
Baystate Noble Hospital,106,2076,Community High Public Payer Hospital,Bipolar Disorders,233
Baystate Wing Hospital,14495,2181,Community High Public Payer Hospital,Maj Depressive Disorders,245
Berkshire Medical Center,6309,2313,Community High Public Payer Hospital,"Drug/Alcohol Abuse, LAMA",767
Beth Israel Deaconess Hospital - Milton,98,2227,Community Hospital,Knee Joint Replacement,505
Beth Israel Deaconess Hospital - Needham,53,2054,Community Hospital,Heart Failure,241
Beth Israel Deaconess Hospital - Plymouth,79,2082,Community High Public Payer Hospital,Septicemia Infections,654
Beth Israel Deaconess Medical Center,8702,2069,Academic Medical Center,Vaginal Delivery,3310
Boston Children's Hospital ,46,2139,Specialty Hospital,Chemotherapy,486
Boston Medical Center,3107,2307,Academic Medical Center,Vaginal Delivery,1693
Brigham and Women's Faulkner Hospital,59,2048,Community Hospital,Knee Joint Replacement,630
Brigham and Women's Hospital,22,2921,Academic Medical Center,Vaginal Delivery,3939
Cambridge Health Alliance,3108,2108,Teaching Hospital,Vaginal Delivery,761
Cape Cod Hospital,39,2135,Community High Public Payer Hospital,Normal Neonate Birth,742
Cooley Dickinson Hospital,50,2155,Community Hospital,Maj Depressive Disorders,383
Dana-Farber Cancer Institute,51,2335,Specialty Hospital,Bone Marrow Transplant,198
Emerson Hospital,57,2018,Community Hospital,Vaginal Delivery,792
Fairview Hospital,8,2052,Community High Public Payer Hospital,Septicemia Infections,110
Falmouth Hospital,40,2289,Community High Public Payer Hospital,Normal Neonate Birth,306
Harrington Memorial Hospital,68,2143,Community High Public Payer Hospital,COPD,300
HealthAlliance-Clinton Hospital,14496,2034,Community High Public Payer Hospital,Vaginal Delivery,472
Heywood Memorial Hospital,73,2036,Community High Public Payer Hospital,Vaginal Delivery,347
Holyoke Medical Center,77,2145,Community High Public Payer Hospital,Normal Neonate Birth,402
Lahey Hospital & Medical Center,6546,2033,Teaching Hospital,Heart Failure,955
Lawrence General Hospital,83,2099,Community High Public Payer Hospital,Vaginal Delivery,880
Lowell General Hospital,85,2040,Community High Public Payer Hospital,Vaginal Delivery,1399
Marlborough Hospital,133,2103,Community High Public Payer Hospital,Septicemia Infections,245
Martha's Vineyard Hospital,88,2042,Community Hospital,Oth Aftercare & Convalescence,99
Massachusetts Eye and Ear Infirmary,89,2167,Specialty Hospital,Other Maj Head/Neck Procs,115
Massachusetts General Hospital,91,2168,Academic Medical Center,Vaginal Delivery,2599
MelroseWakefield Hospital (Hallmark Health),3111,2038,Community High Public Payer Hospital,Heart Failure,536
Mercy Medical Center,6547,2149,Community High Public Payer Hospital,Normal Neonate Birth,1134
MetroWest Medical Center,3110,2020,Community High Public Payer Hospital,Maj Depressive Disorders,893
Milford Regional Medical Center,97,2105,Community Hospital,Septicemia Infections,635
"Morton Hospital, A Steward Family Hospital",99,2022,Community High Public Payer Hospital,Heart Failure,355
Mount Auburn Hospital,100,2071,Teaching Hospital,Vaginal Delivery,1865
Nantucket Cottage Hospital,101,2044,Community Hospital,Vaginal Delivery,99
"Nashoba Valley Medical Center, A Steward Family Hospital",11467,2298,Community High Public Payer Hospital,COPD,138
New England Baptist Hospital,103,2059,Specialty Hospital,Hip Joint Replacement,3067
Newton-Wellesley Hospital,105,2075,Community Hospital,Vaginal Delivery,2512
North Shore Medical Center,345,2073,Community High Public Payer Hospital,Heart Failure,956
Northeast Hospital,3112,2007,Community High Public Payer Hospital,Vaginal Delivery,1516
Saint Vincent Hospital,127,2128,Teaching Hospital,Vaginal Delivery,1218
Shriners Hospitals for Children - Boston,6963,2316,Specialty Hospital,Burns w/ or w/o Skin Graft,36
Shriners Hospitals for Children - Springfield,11718,2152,Specialty Hospital,,
Signature Healthcare Brockton Hospital,25,2118,Community High Public Payer Hospital,Septicemia Infections,813
South Shore Hospital,122,2107,Community Hospital,Vaginal Delivery,1971
Southcoast Hospital Group,3113,2010,Community High Public Payer Hospital,Vaginal Delivery,2211
Steward Carney Hospital,42,2003,Teaching Hospital,Maj Depressive Disorders,284
Steward Good Samaritan Medical Center,8701,2101,Community High Public Payer Hospital,Opioid Abuse & Dependence,1022
Steward Holy Family Hospital,75,2225,Community High Public Payer Hospital,Vaginal Delivery,639
Steward Norwood Hospital,41,2114,Community High Public Payer Hospital,Heart Failure,444
Steward Saint Anne's Hospital,114,2011,Community High Public Payer Hospital,Knee Joint Replacement,444
Steward St. Elizabeth's Medical Center,126,2085,Teaching Hospital,Alcohol & Drug w/ Rehab,650
Sturdy Memorial Hospital,129,2100,Community High Public Payer Hospital,COPD,490
Tufts Medical Center,104,2299,Academic Medical Center,Vaginal Delivery,804
UMass Memorial Medical Center,3115,2841,Academic Medical Center,Vaginal Delivery,2831
Winchester Hospital,138,2094,Community Hospital,Vaginal Delivery,1499
Anna Jaques Hospital,1,2006,Community Hospital,Maj Depressive Disorders,479
Athol Hospital,2,2226,Community High Public Payer Hospital,Heart Failure,58
Baystate Franklin Medical Center,5,2120,Community High Public Payer Hospital,Vaginal Delivery,268
Baystate Medical Center,4,2339,Teaching Hospital,Heart Failure,1649
Baystate Noble Hospital,106,2076,Community High Public Payer Hospital,Maj Depressive Disorders,184
Baystate Wing Hospital,14495,2181,Community High Public Payer Hospital,Heart Failure,197
Berkshire Medical Center,6309,2313,Community High Public Payer Hospital,Alcohol & Drug w/ Rehab,767
Beth Israel Deaconess Hospital - Milton,98,2227,Community Hospital,Hip Joint Replacement,396
Beth Israel Deaconess Hospital - Needham,53,2054,Community Hospital,Other Pneumonia,119
Beth Israel Deaconess Hospital - Plymouth,79,2082,Community High Public Payer Hospital,Vaginal Delivery,521
Beth Israel Deaconess Medical Center,8702,2069,Academic Medical Center,Cesarean Delivery,1656
Boston Children's Hospital ,46,2139,Specialty Hospital,Bronchiolitis & RSV Pneumonia,349
Boston Medical Center,3107,2307,Academic Medical Center,Cesarean Delivery,980
Brigham and Women's Faulkner Hospital,59,2048,Community Hospital,Mastectomy Procedures,364
Brigham and Women's Hospital,22,2921,Academic Medical Center,Cesarean Delivery,2033
Cambridge Health Alliance,3108,2108,Teaching Hospital,Maj Depressive Disorders,571
Cape Cod Hospital,39,2135,Community High Public Payer Hospital,Vaginal Delivery,528
Cooley Dickinson Hospital,50,2155,Community Hospital,Vaginal Delivery,354
Dana-Farber Cancer Institute,51,2335,Specialty Hospital,Maj HEM/IG Dx exc SC,61
Emerson Hospital,57,2018,Community Hospital,Cesarean Delivery,435
Fairview Hospital,8,2052,Community High Public Payer Hospital,Vaginal Delivery,85
Falmouth Hospital,40,2289,Community High Public Payer Hospital,Heart Failure,282
Harrington Memorial Hospital,68,2143,Community High Public Payer Hospital,Bipolar Disorders,257
HealthAlliance-Clinton Hospital,14496,2034,Community High Public Payer Hospital,Other Pneumonia,389
Heywood Memorial Hospital,73,2036,Community High Public Payer Hospital,Org Mental Hlth Disturb,301
Holyoke Medical Center,77,2145,Community High Public Payer Hospital,Maj Depressive Disorders,338
Lahey Hospital & Medical Center,6546,2033,Teaching Hospital,Cardiac Arrhythmia ,547
Lawrence General Hospital,83,2099,Community High Public Payer Hospital,Septicemia Infections,547
Lowell General Hospital,85,2040,Community High Public Payer Hospital,Septicemia Infections,1122
Marlborough Hospital,133,2103,Community High Public Payer Hospital,Other Pneumonia,211
Martha's Vineyard Hospital,88,2042,Community Hospital,Septicemia Infections,80
Massachusetts Eye and Ear Infirmary,89,2167,Specialty Hospital,Orbital Procs,98
Massachusetts General Hospital,91,2168,Academic Medical Center,Heart Failure,1071
MelroseWakefield Hospital (Hallmark Health),3111,2038,Community High Public Payer Hospital,Vaginal Delivery,533
Mercy Medical Center,6547,2149,Community High Public Payer Hospital,Vaginal Delivery,886
MetroWest Medical Center,3110,2020,Community High Public Payer Hospital,Vaginal Delivery,645
Milford Regional Medical Center,97,2105,Community Hospital,Vaginal Delivery,581
"Morton Hospital, A Steward Family Hospital",99,2022,Community High Public Payer Hospital,COPD,278
Mount Auburn Hospital,100,2071,Teaching Hospital,Cesarean Delivery,640
Nantucket Cottage Hospital,101,2044,Community Hospital,Septicemia Infections,50
"Nashoba Valley Medical Center, A Steward Family Hospital",11467,2298,Community High Public Payer Hospital,Heart Failure,110
New England Baptist Hospital,103,2059,Specialty Hospital,D & L Fusion exc Curvature,690
Newton-Wellesley Hospital,105,2075,Community Hospital,Cesarean Delivery,1119
North Shore Medical Center,345,2073,Community High Public Payer Hospital,Septicemia Infections,859
Northeast Hospital,3112,2007,Community High Public Payer Hospital,Septicemia Infections,907
Saint Vincent Hospital,127,2128,Teaching Hospital,Septicemia Infections,960
Shriners Hospitals for Children - Boston,6963,2316,Specialty Hospital,,
Shriners Hospitals for Children - Springfield,11718,2152,Specialty Hospital,,
Signature Healthcare Brockton Hospital,25,2118,Community High Public Payer Hospital,Vaginal Delivery,669
South Shore Hospital,122,2107,Community Hospital,Septicemia Infections,1855
Southcoast Hospital Group,3113,2010,Community High Public Payer Hospital,Septicemia Infections,2009
Steward Carney Hospital,42,2003,Teaching Hospital,Depression exc MDD,253
Steward Good Samaritan Medical Center,8701,2101,Community High Public Payer Hospital,Alcohol Abuse & Dependence,799
Steward Holy Family Hospital,75,2225,Community High Public Payer Hospital,Bipolar Disorders,605
Steward Norwood Hospital,41,2114,Community High Public Payer Hospital,Normal Neonate Birth,423
Steward Saint Anne's Hospital,114,2011,Community High Public Payer Hospital,COPD,432
Steward St. Elizabeth's Medical Center,126,2085,Teaching Hospital,Bipolar Disorders,581
Sturdy Memorial Hospital,129,2100,Community High Public Payer Hospital,Septicemia Infections,489
Tufts Medical Center,104,2299,Academic Medical Center,Septicemia Infections,444
UMass Memorial Medical Center,3115,2841,Academic Medical Center,Septicemia Infections,1785
Winchester Hospital,138,2094,Community Hospital,Cesarean Delivery,746
Anna Jaques Hospital,1,2006,Community Hospital,Vaginal Delivery,464
Athol Hospital,2,2226,Community High Public Payer Hospital,Kidney & UT Infections,33
Baystate Franklin Medical Center,5,2120,Community High Public Payer Hospital,Heart Failure,213
Baystate Medical Center,4,2339,Teaching Hospital,Septicemia Infections,1567
Baystate Noble Hospital,106,2076,Community High Public Payer Hospital,Pulm Edema & Resp Failure,156
Baystate Wing Hospital,14495,2181,Community High Public Payer Hospital,Org Mental Hlth Disturb,165
Berkshire Medical Center,6309,2313,Community High Public Payer Hospital,Heart Failure,678
Beth Israel Deaconess Hospital - Milton,98,2227,Community Hospital,Heart Failure,372
Beth Israel Deaconess Hospital - Needham,53,2054,Community Hospital,Bacterial Skin Infections,102
Beth Israel Deaconess Hospital - Plymouth,79,2082,Community High Public Payer Hospital,Knee Joint Replacement,465
Beth Israel Deaconess Medical Center,8702,2069,Academic Medical Center,Septicemia Infections,1049
Boston Children's Hospital ,46,2139,Specialty Hospital,Craniotomy; exc Trauma,321
Boston Medical Center,3107,2307,Academic Medical Center,Heart Failure,840
Brigham and Women's Faulkner Hospital,59,2048,Community Hospital,Heart Failure,358
Brigham and Women's Hospital,22,2921,Academic Medical Center,Craniotomy; exc Trauma,842
Cambridge Health Alliance,3108,2108,Teaching Hospital,Septicemia Infections,477
Cape Cod Hospital,39,2135,Community High Public Payer Hospital,Heart Failure,507
Cooley Dickinson Hospital,50,2155,Community Hospital,Septicemia Infections,305
Dana-Farber Cancer Institute,51,2335,Specialty Hospital,Lymphoma & Non-Acute Leuk,42
Emerson Hospital,57,2018,Community Hospital,Alcohol Abuse & Dependence,423
Fairview Hospital,8,2052,Community High Public Payer Hospital,Heart Failure,43
Falmouth Hospital,40,2289,Community High Public Payer Hospital,Knee Joint Replacement,278
Harrington Memorial Hospital,68,2143,Community High Public Payer Hospital,Heart Failure,256
HealthAlliance-Clinton Hospital,14496,2034,Community High Public Payer Hospital,Heart Failure,365
Heywood Memorial Hospital,73,2036,Community High Public Payer Hospital,COPD,269
Holyoke Medical Center,77,2145,Community High Public Payer Hospital,COPD,324
Lahey Hospital & Medical Center,6546,2033,Teaching Hospital,Renal Failure,534
Lawrence General Hospital,83,2099,Community High Public Payer Hospital,Heart Failure,542
Lowell General Hospital,85,2040,Community High Public Payer Hospital,Heart Failure,994
Marlborough Hospital,133,2103,Community High Public Payer Hospital,Heart Failure,199
Martha's Vineyard Hospital,88,2042,Community Hospital,Knee Joint Replacement,69
Massachusetts Eye and Ear Infirmary,89,2167,Specialty Hospital,Maj Cranial/Facial Bone,92
Massachusetts General Hospital,91,2168,Academic Medical Center,Septicemia Infections,1062
MelroseWakefield Hospital (Hallmark Health),3111,2038,Community High Public Payer Hospital,Septicemia Infections,393
Mercy Medical Center,6547,2149,Community High Public Payer Hospital,"Drug/Alcohol Abuse, LAMA",885
MetroWest Medical Center,3110,2020,Community High Public Payer Hospital,Bipolar Disorders,558
Milford Regional Medical Center,97,2105,Community Hospital,Heart Failure,530
"Morton Hospital, A Steward Family Hospital",99,2022,Community High Public Payer Hospital,Other Pneumonia,220
Mount Auburn Hospital,100,2071,Teaching Hospital,Septicemia Infections,491
Nantucket Cottage Hospital,101,2044,Community Hospital,Cesarean Delivery,38
"Nashoba Valley Medical Center, A Steward Family Hospital",11467,2298,Community High Public Payer Hospital,Other Pneumonia,93
New England Baptist Hospital,103,2059,Specialty Hospital,Shoulder & Arm Procs,432
Newton-Wellesley Hospital,105,2075,Community Hospital,Septicemia Infections,738
North Shore Medical Center,345,2073,Community High Public Payer Hospital,Vaginal Delivery,800
Northeast Hospital,3112,2007,Community High Public Payer Hospital,Knee Joint Replacement,780
Saint Vincent Hospital,127,2128,Teaching Hospital,Heart Failure,760
Shriners Hospitals for Children - Boston,6963,2316,Specialty Hospital,,
Shriners Hospitals for Children - Springfield,11718,2152,Specialty Hospital,,
Signature Healthcare Brockton Hospital,25,2118,Community High Public Payer Hospital,COPD,497
South Shore Hospital,122,2107,Community Hospital,Cesarean Delivery,1091
Southcoast Hospital Group,3113,2010,Community High Public Payer Hospital,Heart Failure,1659
Steward Carney Hospital,42,2003,Teaching Hospital,Schizophrenia,203
Steward Good Samaritan Medical Center,8701,2101,Community High Public Payer Hospital,Vaginal Delivery,798
Steward Holy Family Hospital,75,2225,Community High Public Payer Hospital,Heart Failure,581
Steward Norwood Hospital,41,2114,Community High Public Payer Hospital,Maj Depressive Disorders,418
Steward Saint Anne's Hospital,114,2011,Community High Public Payer Hospital,Heart Failure,387
Steward St. Elizabeth's Medical Center,126,2085,Teaching Hospital,Vaginal Delivery,547
Sturdy Memorial Hospital,129,2100,Community High Public Payer Hospital,Vaginal Delivery,418
Tufts Medical Center,104,2299,Academic Medical Center,Cesarean Delivery,437
UMass Memorial Medical Center,3115,2841,Academic Medical Center,Cesarean Delivery,1285
Winchester Hospital,138,2094,Community Hospital,Other Pneumonia,582
Anna Jaques Hospital,1,2006,Community Hospital,Knee Joint Replacement,322
Athol Hospital,2,2226,Community High Public Payer Hospital,Oth Aftercare & Convalescence,30
Baystate Franklin Medical Center,5,2120,Community High Public Payer Hospital,Maj Depressive Disorders,213
Baystate Medical Center,4,2339,Teaching Hospital,Cesarean Delivery,1293
Baystate Noble Hospital,106,2076,Community High Public Payer Hospital,Heart Failure,129
Baystate Wing Hospital,14495,2181,Community High Public Payer Hospital,Bipolar Disorders,160
Berkshire Medical Center,6309,2313,Community High Public Payer Hospital,Normal Neonate Birth,630
Beth Israel Deaconess Hospital - Milton,98,2227,Community Hospital,Other Pneumonia,220
Beth Israel Deaconess Hospital - Needham,53,2054,Community Hospital,Maj Resp Infect & Inflam,88
Beth Israel Deaconess Hospital - Plymouth,79,2082,Community High Public Payer Hospital,Other Pneumonia,377
Beth Israel Deaconess Medical Center,8702,2069,Academic Medical Center,Heart Failure,949
Boston Children's Hospital ,46,2139,Specialty Hospital,Other Pneumonia,307
Boston Medical Center,3107,2307,Academic Medical Center,Septicemia Infections,763
Brigham and Women's Faulkner Hospital,59,2048,Community Hospital,Septicemia Infections,243
Brigham and Women's Hospital,22,2921,Academic Medical Center,Heart Failure,820
Cambridge Health Alliance,3108,2108,Teaching Hospital,Schizophrenia,470
Cape Cod Hospital,39,2135,Community High Public Payer Hospital,Hip Joint Replacement,378
Cooley Dickinson Hospital,50,2155,Community Hospital,COPD,252
Dana-Farber Cancer Institute,51,2335,Specialty Hospital,Digestive Malignancy,38
Emerson Hospital,57,2018,Community Hospital,Septicemia Infections,408
Fairview Hospital,8,2052,Community High Public Payer Hospital,Knee Joint Replacement,41
Falmouth Hospital,40,2289,Community High Public Payer Hospital,Vaginal Delivery,193
Harrington Memorial Hospital,68,2143,Community High Public Payer Hospital,Septicemia Infections,229
HealthAlliance-Clinton Hospital,14496,2034,Community High Public Payer Hospital,Septicemia Infections,363
Heywood Memorial Hospital,73,2036,Community High Public Payer Hospital,Heart Failure,219
Holyoke Medical Center,77,2145,Community High Public Payer Hospital,Vaginal Delivery,301
Lahey Hospital & Medical Center,6546,2033,Teaching Hospital,Hip Joint Replacement,529
Lawrence General Hospital,83,2099,Community High Public Payer Hospital,Cesarean Delivery,504
Lowell General Hospital,85,2040,Community High Public Payer Hospital,Cesarean Delivery,781
Marlborough Hospital,133,2103,Community High Public Payer Hospital,Schizophrenia,174
Martha's Vineyard Hospital,88,2042,Community Hospital,Vaginal Delivery,63
Massachusetts Eye and Ear Infirmary,89,2167,Specialty Hospital,Othr O.R. Procs for Lymph/HEM,71
Massachusetts General Hospital,91,2168,Academic Medical Center,Cesarean Delivery,1054
MelroseWakefield Hospital (Hallmark Health),3111,2038,Community High Public Payer Hospital,Other Pneumonia,351
Mercy Medical Center,6547,2149,Community High Public Payer Hospital,Maj Depressive Disorders,545
MetroWest Medical Center,3110,2020,Community High Public Payer Hospital,Septicemia Infections,545
Milford Regional Medical Center,97,2105,Community Hospital,COPD,315
"Morton Hospital, A Steward Family Hospital",99,2022,Community High Public Payer Hospital,Cardiac Arrhythmia ,180
Mount Auburn Hospital,100,2071,Teaching Hospital,Heart Failure,380
Nantucket Cottage Hospital,101,2044,Community Hospital,Oth Aftercare & Convalescence,37
"Nashoba Valley Medical Center, A Steward Family Hospital",11467,2298,Community High Public Payer Hospital,Cardiac Arrhythmia ,74
New England Baptist Hospital,103,2059,Specialty Hospital,C. Spinal Fusion & Other Procs,295
Newton-Wellesley Hospital,105,2075,Community Hospital,Hip Joint Replacement,659
North Shore Medical Center,345,2073,Community High Public Payer Hospital,Maj Depressive Disorders,566
Northeast Hospital,3112,2007,Community High Public Payer Hospital,Maj Depressive Disorders,755
Saint Vincent Hospital,127,2128,Teaching Hospital,COPD,595
Shriners Hospitals for Children - Boston,6963,2316,Specialty Hospital,,
Shriners Hospitals for Children - Springfield,11718,2152,Specialty Hospital,,
Signature Healthcare Brockton Hospital,25,2118,Community High Public Payer Hospital,Heart Failure,288
South Shore Hospital,122,2107,Community Hospital,Heart Failure,965
Southcoast Hospital Group,3113,2010,Community High Public Payer Hospital,COPD,1524
Steward Carney Hospital,42,2003,Teaching Hospital,Heart Failure,202
Steward Good Samaritan Medical Center,8701,2101,Community High Public Payer Hospital,"Drug/Alcohol Abuse, LAMA",754
Steward Holy Family Hospital,75,2225,Community High Public Payer Hospital,Septicemia Infections,489
Steward Norwood Hospital,41,2114,Community High Public Payer Hospital,Depression exc MDD,378
Steward Saint Anne's Hospital,114,2011,Community High Public Payer Hospital,Other Pneumonia,375
Steward St. Elizabeth's Medical Center,126,2085,Teaching Hospital,Maj Depressive Disorders,426
Sturdy Memorial Hospital,129,2100,Community High Public Payer Hospital,Other Pneumonia,355
Tufts Medical Center,104,2299,Academic Medical Center,Heart Failure,384
