Name,ORGID ,FACID ,Cohort,DRG Name, DRG Discharges  
Winchester Hospital,138,2094,Community Hospital,Hip Joint Replacement,253
Anna Jaques Hospital,1,2006,Community Hospital,Hip Joint Replacement,158
Athol Hospital,2,2226,Community High Public Payer Hospital,,
Baystate Franklin Medical Center,5,2120,Community High Public Payer Hospital,Schizophrenia,107
Baystate Medical Center,4,2339,Teaching Hospital,CVA Occlusion w/ Infarct,592
Baystate Noble Hospital,106,2076,Community High Public Payer Hospital,Oth Aftercare & Convalescence,63
Baystate Wing Hospital,14495,2181,Community High Public Payer Hospital,Renal Failure,82
Berkshire Medical Center,6309,2313,Community High Public Payer Hospital,Alcohol Abuse & Dependence,297
Beth Israel Deaconess Hospital - Milton,98,2227,Community Hospital,Kidney & UT Infections,134
Beth Israel Deaconess Hospital - Needham,53,2054,Community Hospital,CVA Occlusion w/ Infarct,62
Beth Israel Deaconess Hospital - Plymouth,79,2082,Community High Public Payer Hospital,Renal Failure,270
Beth Israel Deaconess Medical Center,8702,2069,Academic Medical Center,Renal Failure,450
Boston Children's Hospital ,46,2139,Specialty Hospital,Asthma,289
Boston Medical Center,3107,2307,Academic Medical Center,Knee Joint Replacement,361
Brigham and Women's Faulkner Hospital,59,2048,Community Hospital,Opioid Abuse & Dependence,179
Brigham and Women's Hospital,22,2921,Academic Medical Center,Chemotherapy,522
Cambridge Health Alliance,3108,2108,Teaching Hospital,COPD,257
Cape Cod Hospital,39,2135,Community High Public Payer Hospital,Pulm Edema & Resp Failure,283
Cooley Dickinson Hospital,50,2155,Community Hospital,Pulm Edema & Resp Failure,161
Dana-Farber Cancer Institute,51,2335,Specialty Hospital,,
Emerson Hospital,57,2018,Community Hospital,Hip Joint Replacement,148
Fairview Hospital,8,2052,Community High Public Payer Hospital,Hip Joint Replacement,26
Falmouth Hospital,40,2289,Community High Public Payer Hospital,Cesarean Delivery,126
Harrington Memorial Hospital,68,2143,Community High Public Payer Hospital,Kidney & UT Infections,108
HealthAlliance-Clinton Hospital,14496,2034,Community High Public Payer Hospital,Kidney & UT Infections,167
Heywood Memorial Hospital,73,2036,Community High Public Payer Hospital,Schizophrenia,136
Holyoke Medical Center,77,2145,Community High Public Payer Hospital,Procedures For Obesity,137
Lahey Hospital & Medical Center,6546,2033,Teaching Hospital,Infectious & Parasitic Dis incl HIV w O.R. Proc,374
Lawrence General Hospital,83,2099,Community High Public Payer Hospital,Renal Failure,209
Lowell General Hospital,85,2040,Community High Public Payer Hospital,Hip Joint Replacement,397
Marlborough Hospital,133,2103,Community High Public Payer Hospital,Renal Failure,80
Martha's Vineyard Hospital,88,2042,Community Hospital,Heart Failure,33
Massachusetts Eye and Ear Infirmary,89,2167,Specialty Hospital,"Ear, Nose, Mouth, Throat, Cran/Fac Malig",41
Massachusetts General Hospital,91,2168,Academic Medical Center,Cardiac Arrhythmia ,727
MelroseWakefield Hospital (Hallmark Health),3111,2038,Community High Public Payer Hospital,Knee Joint Replacement,202
Mercy Medical Center,6547,2149,Community High Public Payer Hospital,COPD,370
MetroWest Medical Center,3110,2020,Community High Public Payer Hospital,Other Pneumonia,183
Milford Regional Medical Center,97,2105,Community Hospital,Renal Failure,206
"Morton Hospital, A Steward Family Hospital",99,2022,Community High Public Payer Hospital,Oth & Unsp Gastro Hemorrhage,109
Mount Auburn Hospital,100,2071,Teaching Hospital,COPD,224
Nantucket Cottage Hospital,101,2044,Community Hospital,,
"Nashoba Valley Medical Center, A Steward Family Hospital",11467,2298,Community High Public Payer Hospital,Renal Failure,44
New England Baptist Hospital,103,2059,Specialty Hospital,,
Newton-Wellesley Hospital,105,2075,Community Hospital,Kidney & UT Infections,229
North Shore Medical Center,345,2073,Community High Public Payer Hospital,Cesarean Delivery,354
Northeast Hospital,3112,2007,Community High Public Payer Hospital,COPD,437
Saint Vincent Hospital,127,2128,Teaching Hospital,Cardiac Arrhythmia ,352
Shriners Hospitals for Children - Boston,6963,2316,Specialty Hospital,,
Shriners Hospitals for Children - Springfield,11718,2152,Specialty Hospital,,
Signature Healthcare Brockton Hospital,25,2118,Community High Public Payer Hospital,Other Pneumonia,199
South Shore Hospital,122,2107,Community Hospital,Cardiac Arrhythmia ,501
Southcoast Hospital Group,3113,2010,Community High Public Payer Hospital,Renal Failure,589
Steward Carney Hospital,42,2003,Teaching Hospital,Poisoning of Medicinal Agents,103
Steward Good Samaritan Medical Center,8701,2101,Community High Public Payer Hospital,Kidney & UT Infections,356
Steward Holy Family Hospital,75,2225,Community High Public Payer Hospital,Knee Joint Replacement,287
Steward Norwood Hospital,41,2114,Community High Public Payer Hospital,Renal Failure,224
Steward Saint Anne's Hospital,114,2011,Community High Public Payer Hospital,Cardiac Arrhythmia ,217
Steward St. Elizabeth's Medical Center,126,2085,Teaching Hospital,Other Vascular Procs,258
Sturdy Memorial Hospital,129,2100,Community High Public Payer Hospital,Renal Failure,178
Tufts Medical Center,104,2299,Academic Medical Center,D & L Fusion exc Curvature,242
UMass Memorial Medical Center,3115,2841,Academic Medical Center,Infectious & Parasitic Dis incl HIV w O.R. Proc,466
Winchester Hospital,138,2094,Community Hospital,Diverticulitis/osis,210
Anna Jaques Hospital,1,2006,Community Hospital,Kidney & UT Infections,153
Athol Hospital,2,2226,Community High Public Payer Hospital,,
Baystate Franklin Medical Center,5,2120,Community High Public Payer Hospital,Cardiac Arrhythmia ,95
Baystate Medical Center,4,2339,Teaching Hospital,Other Pneumonia,575
Baystate Noble Hospital,106,2076,Community High Public Payer Hospital,Pancreas Dis exc Malig,62
Baystate Wing Hospital,14495,2181,Community High Public Payer Hospital,Bacterial Skin Infections,72
Berkshire Medical Center,6309,2313,Community High Public Payer Hospital,Hip Joint Replacement,273
Beth Israel Deaconess Hospital - Milton,98,2227,Community Hospital,Diverticulitis/osis,97
Beth Israel Deaconess Hospital - Needham,53,2054,Community Hospital,COPD,56
Beth Israel Deaconess Hospital - Plymouth,79,2082,Community High Public Payer Hospital,Bacterial Skin Infections,258
Beth Israel Deaconess Medical Center,8702,2069,Academic Medical Center,Other Digestive System Dx,448
Boston Children's Hospital ,46,2139,Specialty Hospital,Hip & Femur; Non-Trauma,269
Boston Medical Center,3107,2307,Academic Medical Center,Hip Joint Replacement,338
Brigham and Women's Faulkner Hospital,59,2048,Community Hospital,Maj Male Pelvic Procs,173
Brigham and Women's Hospital,22,2921,Academic Medical Center,D & L Fusion exc Curvature,509
Cambridge Health Alliance,3108,2108,Teaching Hospital,Depression exc MDD,231
Cape Cod Hospital,39,2135,Community High Public Payer Hospital,Per Cardio procs w/ AMI,281
Cooley Dickinson Hospital,50,2155,Community Hospital,Cesarean Delivery,157
Dana-Farber Cancer Institute,51,2335,Specialty Hospital,,
Emerson Hospital,57,2018,Community Hospital,Maj Depressive Disorders,146
Fairview Hospital,8,2052,Community High Public Payer Hospital,Bacterial Skin Infections,25
Falmouth Hospital,40,2289,Community High Public Payer Hospital,Bacterial Skin Infections,123
Harrington Memorial Hospital,68,2143,Community High Public Payer Hospital,Knee Joint Replacement,105
HealthAlliance-Clinton Hospital,14496,2034,Community High Public Payer Hospital,Degen Nrvs Syst exc MS,155
Heywood Memorial Hospital,73,2036,Community High Public Payer Hospital,Bacterial Skin Infections,118
Holyoke Medical Center,77,2145,Community High Public Payer Hospital,Asthma,132
Lahey Hospital & Medical Center,6546,2033,Teaching Hospital,Per Cardio procs w/ AMI,369
Lawrence General Hospital,83,2099,Community High Public Payer Hospital,Acute Myocardial Infarct.,169
Lowell General Hospital,85,2040,Community High Public Payer Hospital,Kidney & UT Infections,391
Marlborough Hospital,133,2103,Community High Public Payer Hospital,Hip Joint Replacement,75
Martha's Vineyard Hospital,88,2042,Community Hospital,COPD,27
Massachusetts Eye and Ear Infirmary,89,2167,Specialty Hospital,"Post-Op, Oth Device Infect",36
Massachusetts General Hospital,91,2168,Academic Medical Center,Per Cardio procs w/o AMI,716
MelroseWakefield Hospital (Hallmark Health),3111,2038,Community High Public Payer Hospital,Kidney & UT Infections,202
Mercy Medical Center,6547,2149,Community High Public Payer Hospital,Bacterial Skin Infections,343
MetroWest Medical Center,3110,2020,Community High Public Payer Hospital,COPD,176
Milford Regional Medical Center,97,2105,Community Hospital,Other Digestive System Dx,156
"Morton Hospital, A Steward Family Hospital",99,2022,Community High Public Payer Hospital,Knee Joint Replacement,101
Mount Auburn Hospital,100,2071,Teaching Hospital,CVA Occlusion w/ Infarct,163
Nantucket Cottage Hospital,101,2044,Community Hospital,,
"Nashoba Valley Medical Center, A Steward Family Hospital",11467,2298,Community High Public Payer Hospital,Septicemia Infections,44
New England Baptist Hospital,103,2059,Specialty Hospital,,
Newton-Wellesley Hospital,105,2075,Community Hospital,Bacterial Skin Infections,222
North Shore Medical Center,345,2073,Community High Public Payer Hospital,Hip Joint Replacement,331
Northeast Hospital,3112,2007,Community High Public Payer Hospital,Schizophrenia,429
Saint Vincent Hospital,127,2128,Teaching Hospital,Renal Failure,319
Shriners Hospitals for Children - Boston,6963,2316,Specialty Hospital,,
Shriners Hospitals for Children - Springfield,11718,2152,Specialty Hospital,,
Signature Healthcare Brockton Hospital,25,2118,Community High Public Payer Hospital,Kidney & UT Infections,191
South Shore Hospital,122,2107,Community Hospital,Alcohol Abuse & Dependence,410
Southcoast Hospital Group,3113,2010,Community High Public Payer Hospital,Maj Resp Infect & Inflam,580
Steward Carney Hospital,42,2003,Teaching Hospital,COPD,102
Steward Good Samaritan Medical Center,8701,2101,Community High Public Payer Hospital,Bacterial Skin Infections,349
Steward Holy Family Hospital,75,2225,Community High Public Payer Hospital,Kidney & UT Infections,263
Steward Norwood Hospital,41,2114,Community High Public Payer Hospital,Other Pneumonia,202
Steward Saint Anne's Hospital,114,2011,Community High Public Payer Hospital,Diabetes,200
Steward St. Elizabeth's Medical Center,126,2085,Teaching Hospital,Heart Failure,229
Sturdy Memorial Hospital,129,2100,Community High Public Payer Hospital,Pancreas Dis exc Malig,154
Tufts Medical Center,104,2299,Academic Medical Center,Other Pneumonia,239
UMass Memorial Medical Center,3115,2841,Academic Medical Center,CVA Occlusion w/ Infarct,457
Winchester Hospital,138,2094,Community Hospital,Cardiac Arrhythmia ,194
Anna Jaques Hospital,1,2006,Community Hospital,Cardiac Arrhythmia ,141
Athol Hospital,2,2226,Community High Public Payer Hospital,,
Baystate Franklin Medical Center,5,2120,Community High Public Payer Hospital,Renal Failure,94
Baystate Medical Center,4,2339,Teaching Hospital,Bacterial Skin Infections,562
Baystate Noble Hospital,106,2076,Community High Public Payer Hospital,Cardiac Arrhythmia ,54
Baystate Wing Hospital,14495,2181,Community High Public Payer Hospital,CVA Occlusion w/ Infarct,54
Berkshire Medical Center,6309,2313,Community High Public Payer Hospital,Bacterial Skin Infections,272
Beth Israel Deaconess Hospital - Milton,98,2227,Community Hospital,CVA Occlusion w/ Infarct,81
Beth Israel Deaconess Hospital - Needham,53,2054,Community Hospital,Diverticulitis/osis,52
Beth Israel Deaconess Hospital - Plymouth,79,2082,Community High Public Payer Hospital,Pulm Edema & Resp Failure,221
Beth Israel Deaconess Medical Center,8702,2069,Academic Medical Center,Hip Joint Replacement,433
Boston Children's Hospital ,46,2139,Specialty Hospital,Infects -Upper Resp Tract,252
Boston Medical Center,3107,2307,Academic Medical Center,Seizure,316
Brigham and Women's Faulkner Hospital,59,2048,Community Hospital,Maj Depressive Disorders,168
Brigham and Women's Hospital,22,2921,Academic Medical Center,Knee Joint Replacement,492
Cambridge Health Alliance,3108,2108,Teaching Hospital,Org Mental Hlth Disturb,135
Cape Cod Hospital,39,2135,Community High Public Payer Hospital,Per Cardio procs w/o AMI,279
Cooley Dickinson Hospital,50,2155,Community Hospital,Schizophrenia,151
Dana-Farber Cancer Institute,51,2335,Specialty Hospital,,
Emerson Hospital,57,2018,Community Hospital,Other Pneumonia,129
Fairview Hospital,8,2052,Community High Public Payer Hospital,,
Falmouth Hospital,40,2289,Community High Public Payer Hospital,CVA Occlusion w/ Infarct,109
Harrington Memorial Hospital,68,2143,Community High Public Payer Hospital,Cardiac Arrhythmia ,94
HealthAlliance-Clinton Hospital,14496,2034,Community High Public Payer Hospital,Org Mental Hlth Disturb,142
Heywood Memorial Hospital,73,2036,Community High Public Payer Hospital,Procedures For Obesity,112
Holyoke Medical Center,77,2145,Community High Public Payer Hospital,Cesarean Delivery,121
Lahey Hospital & Medical Center,6546,2033,Teaching Hospital,Other Digestive System Dx,362
Lawrence General Hospital,83,2099,Community High Public Payer Hospital,CVA Occlusion w/ Infarct,155
Lowell General Hospital,85,2040,Community High Public Payer Hospital,Cardiac Arrhythmia ,370
Marlborough Hospital,133,2103,Community High Public Payer Hospital,Pulm Edema & Resp Failure,73
Martha's Vineyard Hospital,88,2042,Community Hospital,Cardiac Arrhythmia ,27
Massachusetts Eye and Ear Infirmary,89,2167,Specialty Hospital,Maj Larynx & Trachea Proc,35
Massachusetts General Hospital,91,2168,Academic Medical Center,Other Pneumonia,712
MelroseWakefield Hospital (Hallmark Health),3111,2038,Community High Public Payer Hospital,Bacterial Skin Infections,160
Mercy Medical Center,6547,2149,Community High Public Payer Hospital,Schizophrenia,337
MetroWest Medical Center,3110,2020,Community High Public Payer Hospital,Kidney & UT Infections,174
Milford Regional Medical Center,97,2105,Community Hospital,Knee Joint Replacement,150
"Morton Hospital, A Steward Family Hospital",99,2022,Community High Public Payer Hospital,Diabetes,92
Mount Auburn Hospital,100,2071,Teaching Hospital,Bacterial Skin Infections,162
Nantucket Cottage Hospital,101,2044,Community Hospital,,
"Nashoba Valley Medical Center, A Steward Family Hospital",11467,2298,Community High Public Payer Hospital,Pancreas Dis exc Malig,42
New England Baptist Hospital,103,2059,Specialty Hospital,,
Newton-Wellesley Hospital,105,2075,Community Hospital,D & L Fusion exc Curvature,203
North Shore Medical Center,345,2073,Community High Public Payer Hospital,Knee Joint Replacement,330
Northeast Hospital,3112,2007,Community High Public Payer Hospital,Cardiac Arrhythmia ,423
Saint Vincent Hospital,127,2128,Teaching Hospital,Kidney & UT Infections,296
Shriners Hospitals for Children - Boston,6963,2316,Specialty Hospital,,
Shriners Hospitals for Children - Springfield,11718,2152,Specialty Hospital,,
Signature Healthcare Brockton Hospital,25,2118,Community High Public Payer Hospital,Maj Depressive Disorders,185
South Shore Hospital,122,2107,Community Hospital,Knee Joint Replacement,400
Southcoast Hospital Group,3113,2010,Community High Public Payer Hospital,Kidney & UT Infections,570
Steward Carney Hospital,42,2003,Teaching Hospital,Pancreas Dis exc Malig,89
Steward Good Samaritan Medical Center,8701,2101,Community High Public Payer Hospital,Knee Joint Replacement,312
Steward Holy Family Hospital,75,2225,Community High Public Payer Hospital,Cardiac Arrhythmia ,260
Steward Norwood Hospital,41,2114,Community High Public Payer Hospital,Schizophrenia,180
Steward Saint Anne's Hospital,114,2011,Community High Public Payer Hospital,Maj Resp Infect & Inflam,196
Steward St. Elizabeth's Medical Center,126,2085,Teaching Hospital,Septicemia Infections,216
Sturdy Memorial Hospital,129,2100,Community High Public Payer Hospital,Cardiac Arrhythmia ,140
Tufts Medical Center,104,2299,Academic Medical Center,CC W Circ Disord Exc IHD,236
UMass Memorial Medical Center,3115,2841,Academic Medical Center,Other Digestive System Dx,454
Winchester Hospital,138,2094,Community Hospital,Kidney & UT Infections,194
Anna Jaques Hospital,1,2006,Community Hospital,Depression exc MDD,124
Athol Hospital,2,2226,Community High Public Payer Hospital,,
Baystate Franklin Medical Center,5,2120,Community High Public Payer Hospital,Alcohol Abuse & Dependence,84
Baystate Medical Center,4,2339,Teaching Hospital,Acute Myocardial Infarct.,524
Baystate Noble Hospital,106,2076,Community High Public Payer Hospital,Kidney & UT Infections,52
Baystate Wing Hospital,14495,2181,Community High Public Payer Hospital,Pancreas Dis exc Malig,54
Berkshire Medical Center,6309,2313,Community High Public Payer Hospital,Pulm Edema & Resp Failure,265
Beth Israel Deaconess Hospital - Milton,98,2227,Community Hospital,Procedures For Obesity,78
Beth Israel Deaconess Hospital - Needham,53,2054,Community Hospital,Knee Joint Replacement,44
Beth Israel Deaconess Hospital - Plymouth,79,2082,Community High Public Payer Hospital,Cardiac Arrhythmia ,212
Beth Israel Deaconess Medical Center,8702,2069,Academic Medical Center,Other Pneumonia,424
Boston Children's Hospital ,46,2139,Specialty Hospital,D & L Fusion for Curvature,247
Boston Medical Center,3107,2307,Academic Medical Center,CVA Occlusion w/ Infarct,314
Brigham and Women's Faulkner Hospital,59,2048,Community Hospital,"Drug/Alcohol Abuse, LAMA",166
Brigham and Women's Hospital,22,2921,Academic Medical Center,Cardiac Arrhythmia ,473
Cambridge Health Alliance,3108,2108,Teaching Hospital,Pancreas Dis exc Malig,132
Cape Cod Hospital,39,2135,Community High Public Payer Hospital,Renal Failure,272
Cooley Dickinson Hospital,50,2155,Community Hospital,Bacterial Skin Infections,138
Dana-Farber Cancer Institute,51,2335,Specialty Hospital,,
Emerson Hospital,57,2018,Community Hospital,COPD,102
Fairview Hospital,8,2052,Community High Public Payer Hospital,,
Falmouth Hospital,40,2289,Community High Public Payer Hospital,Acute Myocardial Infarct.,104
Harrington Memorial Hospital,68,2143,Community High Public Payer Hospital,Alcohol Abuse & Dependence,90
HealthAlliance-Clinton Hospital,14496,2034,Community High Public Payer Hospital,Pulm Edema & Resp Failure,139
Heywood Memorial Hospital,73,2036,Community High Public Payer Hospital,Hip Joint Replacement,109
Holyoke Medical Center,77,2145,Community High Public Payer Hospital,Bipolar Disorders,121
Lahey Hospital & Medical Center,6546,2033,Teaching Hospital,Kidney & UT Infections,348
Lawrence General Hospital,83,2099,Community High Public Payer Hospital,Asthma,151
Lowell General Hospital,85,2040,Community High Public Payer Hospital,Procedures For Obesity,296
Marlborough Hospital,133,2103,Community High Public Payer Hospital,Cardiac Arrhythmia ,68
Martha's Vineyard Hospital,88,2042,Community Hospital,Bacterial Skin Infections,27
Massachusetts Eye and Ear Infirmary,89,2167,Specialty Hospital,O.R. Proc for TX Comp,34
Massachusetts General Hospital,91,2168,Academic Medical Center,CVA Occlusion w/ Infarct,603
MelroseWakefield Hospital (Hallmark Health),3111,2038,Community High Public Payer Hospital,Depression exc MDD,159
Mercy Medical Center,6547,2149,Community High Public Payer Hospital,Cesarean Delivery,326
MetroWest Medical Center,3110,2020,Community High Public Payer Hospital,Pulm Edema & Resp Failure,153
Milford Regional Medical Center,97,2105,Community Hospital,Bacterial Skin Infections,138
"Morton Hospital, A Steward Family Hospital",99,2022,Community High Public Payer Hospital,CVA Occlusion w/ Infarct,90
Mount Auburn Hospital,100,2071,Teaching Hospital,Renal Failure,146
Nantucket Cottage Hospital,101,2044,Community Hospital,,
"Nashoba Valley Medical Center, A Steward Family Hospital",11467,2298,Community High Public Payer Hospital,Bipolar Disorders,42
New England Baptist Hospital,103,2059,Specialty Hospital,,
Newton-Wellesley Hospital,105,2075,Community Hospital,Maj Sml & Lrg Bowel Procs,197
North Shore Medical Center,345,2073,Community High Public Payer Hospital,Alcohol Abuse & Dependence,316
Northeast Hospital,3112,2007,Community High Public Payer Hospital,Kidney & UT Infections,416
Saint Vincent Hospital,127,2128,Teaching Hospital,Per Cardio procs w/o AMI,283
Shriners Hospitals for Children - Boston,6963,2316,Specialty Hospital,,
Shriners Hospitals for Children - Springfield,11718,2152,Specialty Hospital,,
Signature Healthcare Brockton Hospital,25,2118,Community High Public Payer Hospital,Renal Failure,183
South Shore Hospital,122,2107,Community Hospital,Renal Failure,390
Southcoast Hospital Group,3113,2010,Community High Public Payer Hospital,Acute Myocardial Infarct.,510
Steward Carney Hospital,42,2003,Teaching Hospital,Other Pneumonia,87
Steward Good Samaritan Medical Center,8701,2101,Community High Public Payer Hospital,Cardiac Arrhythmia ,301
Steward Holy Family Hospital,75,2225,Community High Public Payer Hospital,Bacterial Skin Infections,254
Steward Norwood Hospital,41,2114,Community High Public Payer Hospital,COPD,179
Steward Saint Anne's Hospital,114,2011,Community High Public Payer Hospital,Degen Nrvs Syst exc MS,185
Steward St. Elizabeth's Medical Center,126,2085,Teaching Hospital,"Drug/Alcohol Abuse, LAMA",207
Sturdy Memorial Hospital,129,2100,Community High Public Payer Hospital,Maj Resp Infect & Inflam,136
Tufts Medical Center,104,2299,Academic Medical Center,Hip Joint Replacement,228
UMass Memorial Medical Center,3115,2841,Academic Medical Center,Maj Sml & Lrg Bowel Procs,452
Winchester Hospital,138,2094,Community Hospital,Renal Failure,175
Anna Jaques Hospital,1,2006,Community Hospital,Bacterial Skin Infections,111
Athol Hospital,2,2226,Community High Public Payer Hospital,,
Baystate Franklin Medical Center,5,2120,Community High Public Payer Hospital,Kidney & UT Infections,73
Baystate Medical Center,4,2339,Teaching Hospital,Cardiac Arrhythmia ,520
Baystate Noble Hospital,106,2076,Community High Public Payer Hospital,Renal Failure,50
Baystate Wing Hospital,14495,2181,Community High Public Payer Hospital,Diverticulitis/osis,49
Berkshire Medical Center,6309,2313,Community High Public Payer Hospital,Cardiac Arrhythmia ,221
Beth Israel Deaconess Hospital - Milton,98,2227,Community Hospital,Laparoscopic Cholecystectomy,77
Beth Israel Deaconess Hospital - Needham,53,2054,Community Hospital,Peptic Ulcer & Gastritis,39
Beth Israel Deaconess Hospital - Plymouth,79,2082,Community High Public Payer Hospital,Degen Nrvs Syst exc MS,209
Beth Israel Deaconess Medical Center,8702,2069,Academic Medical Center,CVA Occlusion w/ Infarct,393
Boston Children's Hospital ,46,2139,Specialty Hospital,"Non-Bact Gastro, Nausea",222
Boston Medical Center,3107,2307,Academic Medical Center,Asthma,299
Brigham and Women's Faulkner Hospital,59,2048,Community Hospital,D & L Fusion exc Curvature,155
Brigham and Women's Hospital,22,2921,Academic Medical Center,CVA Occlusion w/ Infarct,463
Cambridge Health Alliance,3108,2108,Teaching Hospital,Other Pneumonia,128
Cape Cod Hospital,39,2135,Community High Public Payer Hospital,Cesarean Delivery,257
Cooley Dickinson Hospital,50,2155,Community Hospital,Renal Failure,137
Dana-Farber Cancer Institute,51,2335,Specialty Hospital,,
Emerson Hospital,57,2018,Community Hospital,Depression exc MDD,102
Fairview Hospital,8,2052,Community High Public Payer Hospital,,
Falmouth Hospital,40,2289,Community High Public Payer Hospital,COPD,103
Harrington Memorial Hospital,68,2143,Community High Public Payer Hospital,Pancreas Dis exc Malig,76
HealthAlliance-Clinton Hospital,14496,2034,Community High Public Payer Hospital,Knee Joint Replacement,135
Heywood Memorial Hospital,73,2036,Community High Public Payer Hospital,Maj Depressive Disorders,98
Holyoke Medical Center,77,2145,Community High Public Payer Hospital,Knee Joint Replacement,117
Lahey Hospital & Medical Center,6546,2033,Teaching Hospital,Bacterial Skin Infections,307
Lawrence General Hospital,83,2099,Community High Public Payer Hospital,Diabetes,146
Lowell General Hospital,85,2040,Community High Public Payer Hospital,CVA Occlusion w/ Infarct,281
Marlborough Hospital,133,2103,Community High Public Payer Hospital,Alcohol Abuse & Dependence,68
Martha's Vineyard Hospital,88,2042,Community Hospital,,
Massachusetts Eye and Ear Infirmary,89,2167,Specialty Hospital,Thyroid & Other Procs,28
Massachusetts General Hospital,91,2168,Academic Medical Center,Other Digestive System Dx,527
MelroseWakefield Hospital (Hallmark Health),3111,2038,Community High Public Payer Hospital,Bipolar Disorders,157
Mercy Medical Center,6547,2149,Community High Public Payer Hospital,Renal Failure,295
MetroWest Medical Center,3110,2020,Community High Public Payer Hospital,Renal Failure,151
Milford Regional Medical Center,97,2105,Community Hospital,Pancreas Dis exc Malig,125
"Morton Hospital, A Steward Family Hospital",99,2022,Community High Public Payer Hospital,Maj Resp Infect & Inflam,80
Mount Auburn Hospital,100,2071,Teaching Hospital,"Non-Bact Gastro, Nausea",141
Nantucket Cottage Hospital,101,2044,Community Hospital,,
"Nashoba Valley Medical Center, A Steward Family Hospital",11467,2298,Community High Public Payer Hospital,Diverticulitis/osis,41
New England Baptist Hospital,103,2059,Specialty Hospital,,
Newton-Wellesley Hospital,105,2075,Community Hospital,Diverticulitis/osis,188
North Shore Medical Center,345,2073,Community High Public Payer Hospital,Renal Failure,315
Northeast Hospital,3112,2007,Community High Public Payer Hospital,Bacterial Skin Infections,404
Saint Vincent Hospital,127,2128,Teaching Hospital,Per Cardio procs w/ AMI,222
Shriners Hospitals for Children - Boston,6963,2316,Specialty Hospital,,
Shriners Hospitals for Children - Springfield,11718,2152,Specialty Hospital,,
Signature Healthcare Brockton Hospital,25,2118,Community High Public Payer Hospital,Hip Joint Replacement,158
South Shore Hospital,122,2107,Community Hospital,Other Digestive System Dx,388
Southcoast Hospital Group,3113,2010,Community High Public Payer Hospital,CVA Occlusion w/ Infarct,480
Steward Carney Hospital,42,2003,Teaching Hospital,Diabetes,85
Steward Good Samaritan Medical Center,8701,2101,Community High Public Payer Hospital,Renal Failure,263
Steward Holy Family Hospital,75,2225,Community High Public Payer Hospital,Hip Joint Replacement,219
Steward Norwood Hospital,41,2114,Community High Public Payer Hospital,Org Mental Hlth Disturb,177
Steward Saint Anne's Hospital,114,2011,Community High Public Payer Hospital,"Non-Bact Gastro, Nausea",162
Steward St. Elizabeth's Medical Center,126,2085,Teaching Hospital,Depression exc MDD,180
Sturdy Memorial Hospital,129,2100,Community High Public Payer Hospital,Alcohol Abuse & Dependence,130
Tufts Medical Center,104,2299,Academic Medical Center,Coronary Bypass w/o Card Cath,227
UMass Memorial Medical Center,3115,2841,Academic Medical Center,Pancreas Dis exc Malig,442
Winchester Hospital,138,2094,Community Hospital,Pulm Edema & Resp Failure,156
